formula, size, total, solver, subsumption, reverse
P0.5N2L10.form141, 19, 1, 0, 0, 0, true
P0.5N2L10.form142, 16, 0, 0, 0, 0, false
P0.5N2L10.form143, 13, 0, 0, 0, 0, false
P0.5N2L10.form144, 10, 1, 0, 0, 0, false
P0.5N2L10.form145, 10, 1, 0, 1, 0, false
P0.5N2L10.form146, 13, 2, 0, 1, 0, false
P0.5N2L10.form147, 10, 0, 0, 0, 0, false
P0.5N2L10.form148, 13, 1, 0, 0, 0, false
P0.5N2L10.form149, 19, 2, 0, 2, 0, false
P0.5N2L10.form150, 13, 0, 0, 0, 0, false
P0.5N2L10.form151, 13, 1, 0, 0, 0, false
P0.5N2L10.form152, 10, 1, 0, 1, 0, false
P0.5N2L10.form153, 10, 1, 0, 1, 0, false
P0.5N2L10.form154, 13, 0, 0, 0, 0, false
P0.5N2L10.form155, 13, 0, 0, 0, 0, false
P0.5N2L10.form156, 16, 0, 0, 0, 0, false
P0.5N2L10.form157, 13, 0, 0, 0, 1, false
P0.5N2L10.form158, 10, 0, 0, 0, 0, false
P0.5N2L10.form159, 16, 0, 0, 0, 0, false
P0.5N2L10.form160, 16, 1, 0, 1, 0, false
P0.5N2L10.form161, 10, 0, 0, 0, 0, false
P0.5N2L10.form162, 13, 0, 0, 0, 0, false
P0.5N2L10.form163, 10, 0, 0, 0, 0, false
P0.5N2L10.form164, 13, 0, 0, 0, 0, false
P0.5N2L10.form165, 16, 1, 0, 1, 0, false
P0.5N2L10.form166, 13, 0, 0, 0, 0, false
P0.5N2L10.form167, 13, 1, 0, 0, 0, false
P0.5N2L10.form168, 10, 0, 0, 0, 0, false
P0.5N2L10.form169, 13, 0, 0, 0, 0, false
P0.5N2L10.form170, 16, 1, 0, 1, 0, false
P0.5N2L10.form171, 10, 0, 0, 0, 0, false
P0.5N2L10.form172, 10, 1, 0, 0, 0, false
P0.5N2L10.form173, 16, 1, 0, 1, 0, false
P0.5N2L10.form174, 13, 1, 0, 0, 1, false
P0.5N2L10.form175, 16, 1, 1, 0, 1, true
P0.5N2L10.form176, 16, 0, 0, 0, 0, false
P0.5N2L10.form177, 13, 0, 0, 0, 0, false
P0.5N2L10.form178, 10, 0, 0, 0, 0, false
P0.5N2L10.form179, 13, 1, 0, 0, 0, false
P0.5N2L10.form180, 13, 0, 0, 0, 0, false
P0.5N2L10.form181, 13, 0, 0, 0, 0, false
P0.5N2L10.form182, 16, 0, 0, 0, 0, false
P0.5N2L10.form183, 13, 0, 0, 0, 0, false
P0.5N2L10.form184, 16, 0, 0, 0, 0, false
P0.5N2L10.form185, 13, 1, 1, 0, 0, false
P0.5N2L10.form186, 10, 0, 0, 0, 0, false
P0.5N2L10.form187, 13, 1, 0, 0, 0, false
P0.5N2L10.form188, 13, 0, 0, 0, 0, false
P0.5N2L10.form189, 13, 0, 0, 0, 0, false
P0.5N2L10.form190, 13, 0, 0, 0, 0, false
P0.5N2L10.form191, 10, 0, 0, 0, 0, false
P0.5N2L10.form192, 10, 0, 0, 0, 0, false
P0.5N2L10.form193, 10, 0, 0, 0, 0, false
P0.5N2L10.form194, 10, 1, 0, 1, 0, false
P0.5N2L10.form195, 16, 0, 0, 0, 0, false
P0.5N2L10.form196, 10, 0, 0, 0, 0, false
P0.5N2L10.form197, 19, 1, 1, 0, 0, false
P0.5N2L10.form198, 13, 0, 0, 0, 0, false
P0.5N2L10.form199, 13, 0, 0, 0, 0, false
P0.5N2L10.form200, 16, 1, 0, 0, 0, false
P0.5N2L10.form201, 13, 1, 0, 1, 0, true
P0.5N2L10.form202, 10, 0, 0, 0, 0, false
P0.5N2L10.form203, 16, 2, 0, 2, 0, true
P0.5N2L10.form204, 10, 0, 0, 0, 0, false
P0.5N2L10.form205, 10, 0, 0, 0, 0, false
P0.5N2L10.form206, 13, 0, 0, 0, 0, false
P0.5N2L10.form207, 13, 0, 0, 0, 0, false
P0.5N2L10.form208, 13, 0, 0, 0, 0, false
P0.5N2L10.form209, 13, 0, 0, 0, 0, false
P0.5N2L10.form210, 16, 0, 0, 0, 0, false
P0.5N2L10.form211, 10, 0, 0, 0, 0, false
P0.5N2L10.form212, 10, 2, 0, 1, 0, false
P0.5N2L10.form213, 10, 0, 0, 0, 0, false
P0.5N2L10.form214, 13, 1, 0, 1, 0, false
P0.5N2L10.form215, 13, 1, 0, 0, 0, false
P0.5N2L10.form216, 10, 0, 0, 0, 0, false
P0.5N2L10.form217, 10, 0, 0, 0, 0, false
P0.5N2L10.form218, 16, 1, 0, 1, 0, false
P0.5N2L10.form219, 16, 0, 0, 0, 1, false
P0.5N2L10.form220, 16, 0, 0, 0, 0, false
P0.5N2L10.form221, 13, 0, 0, 0, 0, false
P0.5N2L10.form222, 13, 0, 0, 0, 1, false
P0.5N2L10.form223, 13, 0, 0, 0, 0, false
P0.5N2L10.form224, 13, 0, 0, 0, 0, false
P0.5N2L10.form225, 10, 0, 0, 0, 0, false
P0.5N2L10.form226, 13, 0, 0, 0, 0, false
P0.5N2L10.form227, 13, 0, 0, 0, 0, false
P0.5N2L10.form228, 16, 0, 0, 0, 0, false
P0.5N2L10.form229, 13, 0, 0, 0, 0, false
P0.5N2L10.form230, 13, 1, 0, 1, 0, false
P0.5N2L10.form231, 10, 1, 0, 1, 0, false
P0.5N2L10.form232, 16, 1, 0, 0, 0, false
P0.5N2L10.form233, 13, 0, 0, 0, 0, false
P0.5N2L10.form234, 13, 1, 0, 0, 0, false
P0.5N2L10.form235, 13, 1, 0, 1, 0, false
P0.5N2L10.form236, 16, 1, 0, 1, 0, false
P0.5N2L10.form237, 10, 0, 0, 0, 0, false
P0.5N2L10.form238, 13, 0, 0, 0, 0, false
P0.5N2L10.form239, 13, 0, 0, 0, 0, false
P0.5N2L10.form240, 16, 2, 0, 2, 0, false
P0.5N2L10.form241, 10, 1, 0, 0, 0, false
P0.5N2L10.form242, 16, 1, 0, 0, 0, true
P0.5N2L10.form243, 16, 0, 0, 0, 0, false
P0.5N2L10.form244, 13, 0, 0, 0, 0, false
P0.5N2L10.form245, 10, 0, 0, 0, 0, false
P0.5N2L10.form246, 10, 0, 0, 0, 0, false
P0.5N2L10.form247, 10, 1, 0, 1, 0, false
P0.5N2L10.form248, 10, 0, 0, 0, 0, false
P0.5N2L10.form249, 13, 1, 0, 0, 0, false
P0.5N2L10.form250, 16, 2, 0, 2, 0, false
P0.5N2L10.form251, 13, 0, 0, 0, 0, false
P0.5N2L10.form252, 16, 0, 0, 0, 0, false
P0.5N2L10.form253, 10, 0, 0, 0, 0, false
P0.5N2L10.form254, 13, 1, 0, 1, 0, false
P0.5N2L10.form255, 13, 1, 0, 1, 0, false
P0.5N2L10.form256, 13, 1, 0, 1, 0, false
P0.5N2L10.form257, 13, 1, 0, 1, 0, false
P0.5N2L10.form258, 13, 1, 0, 0, 0, false
P0.5N2L10.form259, 10, 1, 0, 1, 0, false
P0.5N2L10.form260, 16, 0, 0, 0, 1, false
P0.5N2L10.form261, 10, 1, 0, 1, 0, false
P0.5N2L10.form262, 10, 0, 0, 0, 1, false
P0.5N2L10.form263, 13, 0, 0, 0, 0, false
P0.5N2L10.form264, 10, 1, 0, 0, 0, false
P0.5N2L10.form265, 10, 2, 0, 1, 0, false
P0.5N2L10.form266, 10, 0, 0, 0, 0, false
P0.5N2L10.form267, 16, 0, 0, 0, 1, true
P0.5N2L10.form268, 10, 0, 0, 0, 0, false
P0.5N2L10.form269, 10, 0, 0, 0, 0, false
P0.5N2L10.form270, 16, 2, 0, 2, 0, false
P0.5N2L10.form271, 19, 2, 0, 1, 0, false
P0.5N2L10.form272, 13, 1, 0, 0, 0, false
P0.5N2L10.form273, 10, 0, 0, 0, 0, false
P0.5N2L10.form274, 10, 0, 0, 0, 0, false
P0.5N2L10.form275, 10, 0, 0, 0, 0, false
P0.5N2L10.form276, 13, 0, 0, 0, 0, false
P0.5N2L10.form277, 13, 1, 0, 1, 0, false
P0.5N2L10.form278, 13, 1, 0, 1, 0, false
P0.5N2L10.form279, 13, 1, 1, 0, 0, false
P0.5N2L10.form280, 13, 0, 0, 0, 0, false
P0.5N2L10.form281, 10, 0, 0, 0, 0, false
P0.5N2L10.form282, 13, 0, 0, 0, 0, false
P0.5N2L10.form283, 16, 1, 0, 0, 0, false
P0.5N2L10.form284, 13, 1, 0, 0, 0, false
P0.5N2L10.form285, 13, 1, 0, 1, 0, false
P0.5N2L10.form286, 10, 0, 0, 0, 0, false
P0.5N2L10.form287, 13, 0, 0, 0, 1, false
P0.5N2L10.form288, 16, 1, 0, 0, 0, false
P0.5N2L10.form289, 16, 0, 0, 0, 0, false
P0.5N2L10.form290, 13, 1, 0, 1, 0, false
P0.5N2L10.form291, 13, 1, 0, 0, 0, false
P0.5N2L10.form292, 10, 0, 0, 0, 0, false
P0.5N2L10.form293, 16, 0, 0, 0, 0, false
P0.5N2L10.form294, 16, 2, 0, 1, 0, false
P0.5N2L10.form295, 13, 1, 0, 1, 0, false
P0.5N2L10.form296, 13, 1, 0, 1, 0, false
P0.5N2L10.form297, 10, 0, 0, 0, 0, false
P0.5N2L10.form298, 16, 0, 0, 0, 0, false
P0.5N2L10.form299, 13, 1, 0, 1, 0, false
P0.5N2L10.form300, 13, 0, 0, 0, 0, false
P0.5N2L10.form301, 13, 0, 0, 0, 0, false
P0.5N2L10.form302, 16, 3, 0, 3, 0, false
P0.5N2L10.form303, 13, 0, 0, 0, 0, true
P0.5N2L10.form304, 19, 0, 0, 0, 0, false
P0.5N2L10.form305, 10, 1, 1, 0, 0, false
P0.5N2L10.form306, 16, 2, 0, 2, 0, true
P0.5N2L10.form307, 16, 0, 0, 0, 0, false
P0.5N2L10.form308, 16, 0, 0, 0, 0, false
P0.5N2L10.form309, 13, 1, 0, 1, 0, false
P0.5N2L10.form310, 13, 1, 0, 1, 0, false
P0.5N2L10.form311, 10, 1, 0, 0, 0, false
P0.5N2L10.form312, 13, 0, 0, 0, 0, false
P0.5N2L10.form313, 13, 1, 0, 1, 0, false
P0.5N2L10.form314, 16, 1, 0, 1, 0, false
P0.5N2L10.form315, 13, 1, 0, 1, 0, false
P0.5N2L10.form316, 16, 1, 0, 1, 0, false
P0.5N2L10.form317, 16, 1, 0, 1, 0, false
P0.5N2L10.form318, 13, 0, 0, 0, 0, false
P0.5N2L10.form319, 13, 1, 0, 0, 1, true
P0.5N2L10.form320, 19, 1, 0, 1, 0, false
P0.5N2L10.form321, 19, 1, 0, 1, 1, false
P0.5N2L10.form322, 19, 2, 0, 2, 0, false
P0.5N2L10.form323, 16, 0, 0, 0, 0, false
P0.5N2L10.form324, 13, 0, 0, 0, 0, false
P0.5N2L10.form325, 19, 0, 0, 0, 0, true
P0.5N2L10.form326, 10, 0, 0, 0, 0, false
P0.5N2L10.form327, 10, 0, 0, 0, 0, false
P0.5N2L10.form328, 10, 0, 0, 0, 0, false
P0.5N2L10.form329, 13, 0, 0, 0, 0, false
P0.5N2L10.form330, 10, 1, 0, 1, 0, false
P0.5N2L10.form331, 13, 0, 0, 0, 0, false
P0.5N2L10.form332, 10, 0, 0, 0, 0, false
P0.5N2L10.form333, 16, 1, 0, 0, 0, false
P0.5N2L10.form334, 13, 2, 0, 2, 0, true
P0.5N2L10.form335, 16, 1, 0, 1, 0, true
P0.5N2L10.form336, 13, 0, 0, 0, 0, false
P0.5N2L10.form337, 10, 0, 0, 0, 0, false
P0.5N2L10.form338, 19, 0, 0, 0, 0, false
P0.5N2L10.form339, 13, 1, 0, 1, 0, false
P0.5N2L10.form340, 16, 1, 0, 1, 0, false
P0.5N2L10.form341, 10, 0, 0, 0, 0, false
P0.5N2L10.form342, 13, 0, 0, 0, 0, false
P0.5N2L10.form343, 10, 0, 0, 0, 0, false
P0.5N2L10.form344, 10, 0, 0, 0, 0, false
P0.5N2L10.form345, 10, 0, 0, 0, 1, false
P0.5N2L10.form346, 16, 0, 0, 0, 0, false
P0.5N2L10.form347, 10, 0, 0, 0, 0, true
P0.5N2L10.form348, 10, 1, 0, 0, 0, false
P0.5N2L10.form349, 16, 1, 0, 1, 0, false
P0.5N2L10.form350, 10, 1, 0, 1, 0, false
P0.5N2L10.form351, 13, 0, 0, 0, 0, false
P0.5N2L10.form352, 13, 1, 0, 1, 0, false
P0.5N2L10.form353, 10, 0, 0, 0, 0, false
P0.5N2L10.form354, 13, 0, 0, 0, 0, false
P0.5N2L10.form355, 10, 0, 0, 0, 0, false
P0.5N2L10.form356, 13, 0, 0, 0, 0, false
P0.5N2L10.form357, 16, 2, 0, 2, 0, true
P0.5N2L10.form358, 10, 1, 0, 0, 0, false
P0.5N2L10.form359, 10, 0, 0, 0, 0, false
P0.5N2L10.form360, 13, 3, 0, 2, 1, false
P0.5N2L10.form361, 10, 1, 0, 1, 0, false
P0.5N2L10.form362, 13, 1, 0, 1, 1, false
P0.5N2L10.form363, 10, 0, 0, 0, 0, false
P0.5N2L10.form364, 13, 0, 0, 0, 0, false
P0.5N2L10.form365, 10, 0, 0, 0, 0, true
P0.5N2L10.form366, 13, 2, 1, 1, 0, false
P0.5N2L10.form367, 13, 1, 0, 1, 0, false
P0.5N2L10.form368, 13, 1, 0, 1, 0, false
P0.5N2L10.form369, 16, 0, 0, 0, 0, false
P0.5N2L10.form370, 10, 0, 0, 0, 0, false
P0.5N2L10.form371, 13, 0, 0, 0, 0, false
P0.5N2L10.form372, 10, 0, 0, 0, 0, false
P0.5N2L10.form373, 13, 0, 0, 0, 0, false
P0.5N2L10.form374, 19, 0, 0, 0, 0, false
P0.5N2L10.form375, 13, 0, 0, 0, 1, false
P0.5N2L10.form376, 13, 0, 0, 0, 0, false
P0.5N2L10.form377, 16, 1, 0, 1, 1, false
P0.5N2L10.form378, 10, 0, 0, 0, 0, false
P0.5N2L10.form379, 13, 1, 0, 1, 0, false
P0.5N2L10.form380, 13, 0, 0, 0, 0, false
P0.5N2L10.form381, 13, 0, 0, 0, 0, true
P0.5N2L10.form382, 16, 1, 0, 1, 0, false
P0.5N2L10.form383, 10, 0, 0, 0, 0, false
P0.5N2L10.form384, 16, 1, 0, 1, 0, false
P0.5N2L10.form385, 13, 0, 0, 0, 0, false
P0.5N2L10.form386, 13, 0, 0, 0, 0, false
P0.5N2L10.form387, 13, 1, 0, 1, 0, false
P0.5N2L10.form388, 16, 1, 0, 1, 0, false
P0.5N2L10.form389, 16, 1, 0, 1, 0, true
P0.5N2L10.form390, 19, 3, 0, 3, 0, true
P0.5N2L10.form391, 13, 0, 0, 0, 0, false
P0.5N2L10.form392, 13, 1, 0, 1, 0, false
P0.5N2L10.form393, 13, 0, 0, 0, 0, false
P0.5N2L10.form394, 10, 1, 0, 1, 0, false
P0.5N2L10.form395, 13, 0, 0, 0, 0, false
P0.5N2L10.form396, 13, 1, 1, 0, 0, false
P0.5N2L10.form397, 10, 0, 0, 0, 0, false
P0.5N2L10.form398, 19, 0, 0, 0, 0, false
P0.5N2L10.form399, 10, 0, 0, 0, 1, false
P0.5N2L10.form400, 16, 1, 0, 1, 0, false
P0.5N2L10.form401, 13, 0, 0, 0, 0, false
P0.5N2L10.form402, 13, 0, 0, 0, 0, false
P0.5N2L10.form403, 16, 1, 0, 1, 0, true
P0.5N2L10.form404, 16, 1, 0, 1, 0, true
P0.5N2L10.form405, 16, 2, 1, 1, 0, false
P0.5N2L10.form406, 10, 0, 0, 0, 0, false
P0.5N2L10.form407, 13, 1, 0, 1, 0, false
P0.5N2L10.form408, 16, 1, 0, 1, 0, false
P0.5N2L10.form409, 13, 0, 0, 0, 0, false
P0.5N2L10.form410, 13, 2, 0, 2, 0, false
P0.5N2L10.form411, 13, 1, 0, 1, 0, false
P0.5N2L10.form412, 13, 1, 0, 1, 0, false
P0.5N2L10.form413, 10, 1, 0, 1, 0, false
P0.5N2L10.form414, 13, 0, 0, 0, 0, false
P0.5N2L10.form415, 10, 0, 0, 0, 0, false
P0.5N2L10.form416, 16, 0, 0, 0, 0, false
P0.5N2L10.form417, 13, 0, 0, 0, 0, false
P0.5N2L10.form418, 13, 1, 0, 1, 0, false
P0.5N2L10.form419, 13, 0, 0, 0, 0, false
P0.5N2L10.form420, 13, 0, 0, 0, 0, false
P0.5N2L10.form421, 13, 0, 0, 0, 0, false
P0.5N2L10.form422, 13, 0, 0, 0, 0, false
P0.5N2L10.form423, 16, 1, 0, 1, 0, false
P0.5N2L10.form424, 16, 1, 0, 1, 0, true
P0.5N2L10.form425, 13, 0, 0, 0, 0, false
P0.5N2L10.form426, 10, 0, 0, 0, 0, false
P0.5N2L10.form427, 10, 0, 0, 0, 0, false
P0.5N2L10.form428, 19, 1, 0, 1, 0, false
P0.5N2L10.form429, 10, 1, 0, 0, 0, false
P0.5N2L10.form430, 16, 1, 0, 1, 0, false
